local_item_id,capsule_key,capsule_name,line,sub_category,intensity,intensity_max,cup_sizes,bean_type,origins,roast_level,aroma_profile,flavor_notes,body,bitterness,acidity,roasting,is_decaf,is_limited_edition,price_per_capsule_krw,created_at,updated_at
906,special_reserve_hawaii_kona,스페셜 리저브 하와이 코나,ORIGINAL,에스프레소,,,"[{""ml"": 40, ""type"": ""ESPRESSO""}]",,"[""하와이""]",MEDIUM,"{""primary"": [""열대과일"", ""곡물"", ""베리""]}","열대 과일과 이국적인 느낌, 견과류와 곡물 노트의 밸런스가 좋은 실키한 질감의 커피입니다. 하와이 코나 커피의 특별한 풍미를 온전히 즐길 수 있도록 블랙 커피로 즐겨보세요.",4,3,3,3,f,t,2100,2026-02-23 10:39:14.678999,2026-02-23 10:39:14.678999
907,caffe_florian,카페 플로리안 커피,ORIGINAL,에스프레소,9,12,"[{""ml"": 25, ""type"": ""RISTRETTO""}, {""ml"": 40, ""type"": ""ESPRESSO""}]",100% Arabica,"[""브라질"", ""온두라스""]",DARK,"{""primary"": [""스파이시"", ""우디"", ""견과류""]}","풀 바디감의 풍성한 다크 로스팅 커피로 우디, 견과류 그리고 브라운 스파이스 노트가 감돕니다. 쏙쌀한 쓴맛과 섬세한 산미로 마무리됩니다.",4,4,3,4,f,t,850,2026-02-23 10:39:14.714049,2026-02-23 10:39:14.714049
908,samra_origin_tanzania,삼라 오리진 탄자니아,ORIGINAL,에스프레소,5,12,"[{""ml"": 40, ""type"": ""ESPRESSO""}, {""ml"": 110, ""type"": ""LUNGO""}]",Arabica,"[""탄자니아""]",LIGHT,"{""primary"": [""곡물"", ""붉은 과일""]}","아프리카 태양의 강렬함이 느껴지는 붉은 과실과 담백한 곡물의 하모니를 느껴보세요. 워시드(Washed) 방식으로 정성스럽게 가공되어 산뜻한 산미와 풍부한 과일 노트, 그리고 담백한 곡물의 여운이 조화롭게 어우러집니다.",3,2,5,2,f,t,920,2026-02-23 10:39:14.717212,2026-02-23 10:39:14.717212
909,festive_almond_hibiscus,페스티브 아몬드 히비스커스향 커피,ORIGINAL,에스프레소,,,"[{""ml"": 40, ""type"": ""ESPRESSO""}, {""ml"": 110, ""type"": ""LUNGO""}]",,,LIGHT,"{""primary"": [""히비스커스"", ""아몬드""]}","부드러운 아몬드향에 살짝 감도는 히비스커스의 잔향이 마법같이 피어납니다. 카푸치노로 즐기면 아몬드, 바닐라, 카라멜의 풍성한 노트가 부드럽게 펼쳐집니다.",2,2,3,2,f,t,920,2026-02-23 10:39:14.721324,2026-02-23 10:39:14.721324
910,freddo_delicato,프레도 델리카토,ORIGINAL,에스프레소,,,"[{""ml"": 40, ""type"": ""ESPRESSO""}]",100% Arabica,"[""케냐"", ""인도네시아""]",LIGHT_MEDIUM,"{""primary"": [""과일""]}","라이트하고 균형 잡힌 베이스에 상쾌하고 밝은 과일향이 퍼지면서 갈증을 해소하는 산뜻함을 선사합니다. 얼음으로 가득 찬 컵 위에 에스프레소로 추출한 뒤, 시원한 물이나 우유를 더해 아이스 아메리카노 혹은 아이스 라테로 즐겨보세요.",,,,,f,f,790,2026-02-23 10:39:14.725418,2026-02-23 10:39:14.725418
911,freddo_intenso,프레도 인텐소,ORIGINAL,에스프레소,,,"[{""ml"": 40, ""type"": ""ESPRESSO""}]",100% Arabica,"[""페루"", ""인도네시아""]",MEDIUM_DARK,"{""primary"": [""로스팅"", ""곡물""]}","아라비카 블렌드의 고소한 곡물향과 우디향의 아름다운 균형을 이루며 다크 로스팅의 클래식한 쓴맛을 선사합니다. 얼음으로 가득 찬 컵 위에 에스프레소로 추출한 뒤, 시원한 물이나 우유를 더해 아이스 아메리카노 혹은 아이스 라테로 즐겨보세요.",,,,,f,f,790,2026-02-23 10:39:14.728036,2026-02-23 10:39:14.728036
912,volluto,볼루토,ORIGINAL,에스프레소,4,12,"[{""ml"": 40, ""type"": ""ESPRESSO""}]",100% Arabica,"[""브라질"", ""콜롬비아""]",LIGHT,"{""primary"": [""균형감"", ""과일"", ""곡물""]}",오븐에서 갓 구운 브리오슈의 향처럼 저항할 수 없는 향과 마음을 편하게 하는 커피입니다. 가볍게 로스팅된 남미산 순수 아라비카를 블렌딩하여 달콤한 비스킷 향과 함께 은은한 산미와 과일향이 어우러집니다.,3,2,4,3,f,f,720,2026-02-23 10:39:14.730304,2026-02-23 10:39:14.730304
913,colombia,콜롬비아,ORIGINAL,에스프레소,6,12,"[{""ml"": 40, ""type"": ""ESPRESSO""}, {""ml"": 110, ""type"": ""LUNGO""}]",100% Arabica,"[""콜롬비아""]",MEDIUM,"{""primary"": [""와인""]}",석류로 시작해 잘익은 포도까지 퍼지는 팡팡 터지는 과즙향이 인상적인 마치 와인을 마시는 기분까지. 고지대에서 재배된 콜롬비아산 아라비카를 늦수확 가공법으로 더 오래 무르익은 커피 체리의 향이 배어든 산뜻한 산미가 와인향과 잘 어우러지는 커피입니다.,,2,4,2,f,f,860,2026-02-23 10:39:14.73449,2026-02-23 10:39:14.73449
914,livanto,리반토,ORIGINAL,에스프레소,6,14,"[{""ml"": 40, ""type"": ""ESPRESSO""}]",Arabica,"[""브라질"", ""과테말라""]",MEDIUM,"{""primary"": [""캐러멜"", ""균형감""]}",오랜시간 미디엄 로스팅한 브라질원두의 고소한 곡물향과 과테말라산 원두의 달콤한 캐러멜향이 부드럽게 밸런스를 이루어 편안함을 주는 부드러운 커피입니다.,3,3,3,3,f,f,720,2026-02-23 10:39:14.740731,2026-02-23 10:39:14.740731
915,venezia,베네치아,ORIGINAL,에스프레소,8,12,"[{""ml"": 25, ""type"": ""RISTRETTO""}, {""ml"": 40, ""type"": ""ESPRESSO""}]",,"[""남미""]",MEDIUM_DARK,,미디엄 다크로스팅한 남미산 원두의 달콤한 캐러멜향에 부드러운 산미가 어우러져 입안 가득 섬세하고 고급스러운 균형감을 선사하는 커피입니다.,4,3,2,4,f,f,720,2026-02-23 10:39:14.745733,2026-02-23 10:39:14.745733
